DayOfWeek,Date,DepTime,ArrTime,CRSArrTime,UniqueCarrier,Airline,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Org_Airport,Dest,Dest_Airport,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DepHour,DepMinute,DepDatetime,Month,Hour,Route,DepDateTime,ArrDateTime,CRSArrDateTime
Monday,2019-04-22,1038,1225,1201,EV,Atlantic Southeast Airlines,4890,N923EV,107,116,88,24,33,ATL,Hartsfield-Jackson Atlanta International Airport,GRR,Gerald R. Ford International Airport,640,3,16,0,N,0,24,0,0,0,0,10,38,2019-04-22 10:38:00,4,10,ATL-GRR,2019-04-22 10:38:00,2019-04-22 12:25:00,2019-04-22 12:01:00
Monday,2019-01-14,2148,35,2358,UA,United Air Lines Inc.,1244,N404UA,107,98,75,37,28,ORD,Chicago O'Hare International Airport,IAD,Washington Dulles International Airport,589,8,24,0,N,0,28,0,9,0,0,21,48,2019-01-14 21:48:00,1,21,ORD-IAD,2019-01-14 21:48:00,2019-01-15 00:35:00,2019-01-14 23:58:00
Thursday,2019-03-21,1812,1925,1900,WN,Southwest Airlines Co.,2627,N742SW,73,75,55,25,27,OAK,Oakland International Airport,ONT,Ontario International Airport,361,5,13,0,N,0,6,0,0,0,19,18,12,2019-03-21 18:12:00,3,18,OAK-ONT,2019-03-21 18:12:00,2019-03-21 19:25:00,2019-03-21 19:00:00
Friday,2019-01-18,1507,1718,1532,MQ,American Eagle Airlines Inc.,3273,N304AE,131,122,114,106,97,DFW,Dallas/Fort Worth International Airport,LRD,Laredo International Airport,394,5,12,0,N,0,54,0,9,0,43,15,7,2019-01-18 15:07:00,1,15,DFW-LRD,2019-01-18 15:07:00,2019-01-18 17:18:00,2019-01-18 15:32:00
Saturday,2019-02-02,1659,1842,1729,UA,United Air Lines Inc.,1261,N413UA,103,84,83,73,54,SNA,John Wayne Airport (Orange County Airport),SFO,San Francisco International Airport,372,8,12,0,N,0,0,0,19,0,54,16,59,2019-02-02 16:59:00,2,16,SNA-SFO,2019-02-02 16:59:00,2019-02-02 18:42:00,2019-02-02 17:29:00
Sunday,2019-02-03,1739,2107,2030,HA,Hawaiian Airlines Inc.,9,N589HA,328,335,306,37,44,LAX,Los Angeles International Airport,HNL,Honolulu International Airport,2556,4,18,0,N,0,37,0,0,0,0,17,39,2019-02-03 17:39:00,2,17,LAX-HNL,2019-02-03 17:39:00,2019-02-03 21:07:00,2019-02-03 20:30:00
Wednesday,2019-02-06,814,1012,925,MQ,American Eagle Airlines Inc.,3838,N694AE,178,175,162,47,44,SAV,Savannah/Hilton Head International Airport,DFW,Dallas/Fort Worth International Airport,925,8,8,0,N,0,44,0,3,0,0,8,14,2019-02-06 08:14:00,2,8,SAV-DFW,2019-02-06 08:14:00,2019-02-06 10:12:00,2019-02-06 09:25:00
Thursday,2019-02-14,1256,1353,1328,OO,Skywest Airlines Inc.,5542,N292UX,57,46,23,25,14,LAX,Los Angeles International Airport,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),89,5,29,0,N,0,25,0,0,0,0,12,56,2019-02-14 12:56:00,2,12,LAX-SBA,2019-02-14 12:56:00,2019-02-14 13:53:00,2019-02-14 13:28:00
Thursday,2019-06-27,1444,1733,1625,WN,Southwest Airlines Co.,790,N662SW,169,135,106,68,34,BWI,Baltimore-Washington International Airport,MCO,Orlando International Airport,787,5,58,0,N,0,34,0,34,0,0,14,44,2019-06-27 14:44:00,6,14,BWI-MCO,2019-06-27 14:44:00,2019-06-27 17:33:00,2019-06-27 16:25:00
Sunday,2019-05-19,2200,2342,2306,UA,United Air Lines Inc.,505,N333UA,162,162,141,36,36,DEN,Denver International Airport,OAK,Oakland International Airport,957,5,16,0,N,0,36,0,0,0,0,22,0,2019-05-19 22:00:00,5,22,DEN-OAK,2019-05-19 22:00:00,2019-05-19 23:42:00,2019-05-19 23:06:00
Friday,2019-04-05,1258,2054,1921,DL,Delta Air Lines Inc.,902,N608DA,296,281,239,93,78,SFO,San Francisco International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,2139,18,39,0,N,0,65,0,15,0,13,12,58,2019-04-05 12:58:00,4,12,SFO-ATL,2019-04-05 12:58:00,2019-04-05 20:54:00,2019-04-05 19:21:00
Monday,2019-06-24,1514,1553,1532,OO,Skywest Airlines Inc.,5424,N221SW,39,47,26,21,29,SAN,San Diego International Airport (Lindbergh Field),LAX,Los Angeles International Airport,109,5,8,0,N,0,0,0,0,0,21,15,14,2019-06-24 15:14:00,6,15,SAN-LAX,2019-06-24 15:14:00,2019-06-24 15:53:00,2019-06-24 15:32:00
Tuesday,2019-03-19,2045,220,19,UA,United Air Lines Inc.,430,N811UA,215,213,190,121,119,DEN,Denver International Airport,EWR,Newark Liberty International Airport,1605,7,18,0,N,0,0,0,108,0,13,20,45,2019-03-19 20:45:00,3,20,DEN-EWR,2019-03-19 20:45:00,2019-03-20 02:20:00,2019-03-20 00:19:00
Friday,2019-01-04,1125,1240,1224,OO,Skywest Airlines Inc.,4078,N668CA,75,74,46,16,15,SLC,Salt Lake City International Airport,BIL,Billings Logan International Airport,387,5,24,0,N,0,16,0,0,0,0,11,25,2019-01-04 11:25:00,1,11,SLC-BIL,2019-01-04 11:25:00,2019-01-04 12:40:00,2019-01-04 12:24:00
Saturday,2019-01-19,1853,2041,1905,WN,Southwest Airlines Co.,405,N336SW,108,135,88,96,123,JAX,Jacksonville International Airport,PHL,Philadelphia International Airport,742,5,15,0,N,0,53,0,0,0,43,18,53,2019-01-19 18:53:00,1,18,JAX-PHL,2019-01-19 18:53:00,2019-01-19 20:41:00,2019-01-19 19:05:00
Thursday,2019-06-06,1626,2203,2147,UA,United Air Lines Inc.,632,N437UA,217,233,193,16,32,SEA,Seattle-Tacoma International Airport,ORD,Chicago O'Hare International Airport,1721,10,14,0,N,0,0,0,0,0,16,16,26,2019-06-06 16:26:00,6,16,SEA-ORD,2019-06-06 16:26:00,2019-06-06 22:03:00,2019-06-06 21:47:00
Wednesday,2019-04-03,2056,2254,2202,DL,Delta Air Lines Inc.,914,N622DL,118,102,73,52,36,ATL,Hartsfield-Jackson Atlanta International Airport,RSW,Southwest Florida International Airport,515,6,39,0,N,0,3,0,16,0,33,20,56,2019-04-03 20:56:00,4,20,ATL-RSW,2019-04-03 20:56:00,2019-04-03 22:54:00,2019-04-03 22:02:00
Monday,2019-05-27,1331,1445,1425,AA,American Airlines Inc.,1886,N052AA,74,60,42,20,6,MIA,Miami International Airport,MCO,Orlando International Airport,193,8,24,0,N,0,0,0,14,0,6,13,31,2019-05-27 13:31:00,5,13,MIA-MCO,2019-05-27 13:31:00,2019-05-27 14:45:00,2019-05-27 14:25:00
Friday,2019-02-08,1438,1529,1500,EV,Atlantic Southeast Airlines,4851,N738EV,51,55,35,29,33,ATL,Hartsfield-Jackson Atlanta International Airport,CAE,Columbia Metropolitan Airport,191,2,14,0,N,0,29,0,0,0,0,14,38,2019-02-08 14:38:00,2,14,ATL-CAE,2019-02-08 14:38:00,2019-02-08 15:29:00,2019-02-08 15:00:00
Saturday,2019-04-06,2213,33,2356,UA,United Air Lines Inc.,310,N340UA,80,91,61,37,48,ORD,Chicago O'Hare International Airport,BUF,Buffalo Niagara International Airport,473,3,16,0,N,0,0,0,0,0,37,22,13,2019-04-06 22:13:00,4,22,ORD-BUF,2019-04-06 22:13:00,2019-04-07 00:33:00,2019-04-06 23:56:00
Friday,2019-01-25,1859,2039,1812,EV,Atlantic Southeast Airlines,4575,N709EV,160,162,145,147,149,ATL,Hartsfield-Jackson Atlanta International Airport,SAT,San Antonio International Airport,874,3,12,0,N,0,147,0,0,0,0,18,59,2019-01-25 18:59:00,1,18,ATL-SAT,2019-01-25 18:59:00,2019-01-25 20:39:00,2019-01-26 18:12:00
Tuesday,2019-03-19,2026,2150,2120,WN,Southwest Airlines Co.,1671,N623SW,84,85,65,30,31,HOU,William P. Hobby Airport,MAF,Midland International Airport,441,6,13,0,N,0,0,0,0,0,30,20,26,2019-03-19 20:26:00,3,20,HOU-MAF,2019-03-19 20:26:00,2019-03-19 21:50:00,2019-03-19 21:20:00
Saturday,2019-02-02,850,1154,1104,UA,United Air Lines Inc.,37,N569UA,364,362,341,50,48,MCO,Orlando International Airport,SFO,San Francisco International Airport,2445,8,15,0,N,0,48,0,2,0,0,8,50,2019-02-02 08:50:00,2,8,MCO-SFO,2019-02-02 08:50:00,2019-02-02 11:54:00,2019-02-02 11:04:00
Thursday,2019-04-04,1458,1623,1600,WN,Southwest Airlines Co.,495,N374SW,85,85,68,23,23,BUR,Bob Hope Airport (Hollywood Burbank Airport),PHX,Phoenix Sky Harbor International Airport,369,5,12,0,N,0,13,0,0,0,10,14,58,2019-04-04 14:58:00,4,14,BUR-PHX,2019-04-04 14:58:00,2019-04-04 16:23:00,2019-04-04 16:00:00
Monday,2019-02-18,835,1002,904,OO,Skywest Airlines Inc.,5730,N578SW,87,64,72,58,35,SEA,Seattle-Tacoma International Airport,GEG,Spokane International Airport,224,4,11,0,N,0,58,0,0,0,0,8,35,2019-02-18 08:35:00,2,8,SEA-GEG,2019-02-18 08:35:00,2019-02-18 10:02:00,2019-02-18 09:04:00
Sunday,2019-02-03,1504,1622,1527,OO,Skywest Airlines Inc.,6375,N412SW,78,87,61,55,64,EUG,Eugene Airport (Mahlon Sweet Field),SFO,San Francisco International Airport,451,4,13,0,N,0,0,0,0,0,55,15,4,2019-02-03 15:04:00,2,15,EUG-SFO,2019-02-03 15:04:00,2019-02-03 16:22:00,2019-02-03 15:27:00
Wednesday,2019-03-13,1500,1826,1750,AA,American Airlines Inc.,1204,N551AA,146,150,130,36,40,DFW,Dallas/Fort Worth International Airport,RDU,Raleigh-Durham International Airport,1062,3,13,0,N,0,5,0,0,0,31,15,0,2019-03-13 15:00:00,3,15,DFW-RDU,2019-03-13 15:00:00,2019-03-13 18:26:00,2019-03-13 17:50:00
Sunday,2019-02-03,1150,1509,1242,US,US Airways Inc.,438,N678AW,199,75,49,147,23,LAS,McCarran International Airport,SAN,San Diego International Airport (Lindbergh Field),258,6,144,0,N,0,1,0,124,0,22,11,50,2019-02-03 11:50:00,2,11,LAS-SAN,2019-02-03 11:50:00,2019-02-03 15:09:00,2019-02-03 12:42:00
Monday,2019-06-24,1908,18,2351,F9,Frontier Airlines Inc.,426,N904FR,190,176,159,27,13,DEN,Denver International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,1199,6,25,0,N,0,13,0,14,0,0,19,8,2019-06-24 19:08:00,6,19,DEN-ATL,2019-06-24 19:08:00,2019-06-25 00:18:00,2019-06-24 23:51:00
Sunday,2019-05-12,1344,2157,2141,B6,JetBlue Airways,212,N608JB,313,336,283,16,39,LGB,Long Beach Airport (Daugherty Field),JFK,John F. Kennedy International Airport (New York International Airport),2465,6,24,0,N,0,0,0,16,0,0,13,44,2019-05-12 13:44:00,5,13,LGB-JFK,2019-05-12 13:44:00,2019-05-12 21:57:00,2019-05-12 21:41:00
Thursday,2019-05-02,2014,2141,2114,US,US Airways Inc.,1534,N526AU,87,89,63,27,29,CLT,Charlotte Douglas International Airport,MDT,Harrisburg International Airport,413,3,21,0,N,0,0,0,0,0,27,20,14,2019-05-02 20:14:00,5,20,CLT-MDT,2019-05-02 20:14:00,2019-05-02 21:41:00,2019-05-02 21:14:00
Wednesday,2019-04-10,1654,1752,1525,MQ,American Eagle Airlines Inc.,4086,N697AB,58,45,32,147,134,MKE,General Mitchell International Airport,ORD,Chicago O'Hare International Airport,67,8,18,0,N,0,0,0,18,0,129,16,54,2019-04-10 16:54:00,4,16,MKE-ORD,2019-04-10 16:54:00,2019-04-10 17:52:00,2019-04-11 15:25:00
Friday,2019-06-21,1307,2107,2050,AA,American Airlines Inc.,28,N5FAAA,300,295,279,17,12,HNL,Honolulu International Airport,SFO,San Francisco International Airport,2398,3,18,0,N,0,0,0,5,12,0,13,7,2019-06-21 13:07:00,6,13,HNL-SFO,2019-06-21 13:07:00,2019-06-21 21:07:00,2019-06-21 20:50:00
Monday,2019-06-10,2250,11,2118,US,US Airways Inc.,1285,N452UW,81,83,61,173,175,BWI,Baltimore-Washington International Airport,CLT,Charlotte Douglas International Airport,361,5,15,0,N,0,0,145,0,0,28,22,50,2019-06-10 22:50:00,6,22,BWI-CLT,2019-06-10 22:50:00,2019-06-11 00:11:00,2019-06-11 21:18:00
Saturday,2019-03-30,1457,1524,1505,WN,Southwest Airlines Co.,3225,N687SW,87,80,71,19,12,CMH,Port Columbus International Airport,STL,St. Louis International Airport at Lambert Field,410,5,11,0,N,0,7,0,7,0,5,14,57,2019-03-30 14:57:00,3,14,CMH-STL,2019-03-30 14:57:00,2019-03-30 15:24:00,2019-03-30 15:05:00
Friday,2019-04-12,1215,1259,1225,OO,Skywest Airlines Inc.,5717,N232SW,44,45,34,34,35,RDM,Redmond Municipal Airport (Roberts Field),PDX,Portland International Airport,116,3,7,0,N,0,34,0,0,0,0,12,15,2019-04-12 12:15:00,4,12,RDM-PDX,2019-04-12 12:15:00,2019-04-12 12:59:00,2019-04-12 12:25:00
Thursday,2019-01-31,1941,2055,2029,US,US Airways Inc.,1747,N421US,74,89,65,26,41,PVD,Theodore Francis Green State Airport,DCA,Ronald Reagan Washington National Airport,357,3,6,0,N,0,0,0,0,0,26,19,41,2019-01-31 19:41:00,1,19,PVD-DCA,2019-01-31 19:41:00,2019-01-31 20:55:00,2019-01-31 20:29:00
Thursday,2019-05-02,1015,1144,1120,MQ,American Eagle Airlines Inc.,3726,N524AE,89,75,67,24,10,LIT,Bill and Hillary Clinton National Airport (Adams Field),DFW,Dallas/Fort Worth International Airport,304,14,8,0,N,0,0,0,14,0,10,10,15,2019-05-02 10:15:00,5,10,LIT-DFW,2019-05-02 10:15:00,2019-05-02 11:44:00,2019-05-02 11:20:00
Saturday,2019-06-15,1352,1628,1505,UA,United Air Lines Inc.,145,N511UA,276,264,254,83,71,ORD,Chicago O'Hare International Airport,SFO,San Francisco International Airport,1846,6,16,0,N,0,14,0,12,0,57,13,52,2019-06-15 13:52:00,6,13,ORD-SFO,2019-06-15 13:52:00,2019-06-15 16:28:00,2019-06-15 15:05:00
Friday,2019-06-28,1306,1618,1514,DL,Delta Air Lines Inc.,1868,N956DL,192,149,118,64,21,BDL,Bradley International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,859,5,69,0,N,0,8,0,43,0,13,13,6,2019-06-28 13:06:00,6,13,BDL-ATL,2019-06-28 13:06:00,2019-06-28 16:18:00,2019-06-28 15:14:00
Wednesday,2019-06-19,1345,1711,1630,AA,American Airlines Inc.,348,N441AA,146,155,129,41,50,DFW,Dallas/Fort Worth International Airport,RSW,Southwest Florida International Airport,1017,2,15,0,N,0,0,14,0,0,27,13,45,2019-06-19 13:45:00,6,13,DFW-RSW,2019-06-19 13:45:00,2019-06-19 17:11:00,2019-06-19 16:30:00
Monday,2019-01-28,1835,1954,1835,AA,American Airlines Inc.,1366,N4WYAA,79,85,59,79,85,DFW,Dallas/Fort Worth International Airport,MEM,Memphis International Airport,432,4,16,0,N,0,74,0,0,0,5,18,35,2019-01-28 18:35:00,1,18,DFW-MEM,2019-01-28 18:35:00,2019-01-28 19:54:00,2019-01-28 18:35:00
Monday,2019-05-20,1119,1251,1225,WN,Southwest Airlines Co.,2614,N528SW,152,155,134,26,29,DEN,Denver International Airport,OAK,Oakland International Airport,957,6,12,0,N,0,6,0,0,0,20,11,19,2019-05-20 11:19:00,5,11,DEN-OAK,2019-05-20 11:19:00,2019-05-20 12:51:00,2019-05-20 12:25:00
Friday,2019-02-15,801,856,810,AA,American Airlines Inc.,1845,N052AA,55,60,35,46,51,MCO,Orlando International Airport,MIA,Miami International Airport,193,4,16,0,N,0,46,0,0,0,0,8,1,2019-02-15 08:01:00,2,8,MCO-MIA,2019-02-15 08:01:00,2019-02-15 08:56:00,2019-02-15 08:10:00
Tuesday,2019-06-04,1450,1554,1445,WN,Southwest Airlines Co.,372,N776WN,64,65,55,69,70,LAX,Los Angeles International Airport,SJC,Norman Y. Mineta San José International Airport,308,2,7,0,N,0,0,0,1,0,68,14,50,2019-06-04 14:50:00,6,14,LAX-SJC,2019-06-04 14:50:00,2019-06-04 15:54:00,2019-06-05 14:45:00
Saturday,2019-06-01,1503,1750,1735,MQ,American Eagle Airlines Inc.,4070,N645AE,107,105,80,15,13,ORD,Chicago O'Hare International Airport,MDT,Harrisburg International Airport,594,8,19,0,N,0,13,0,2,0,0,15,3,2019-06-01 15:03:00,6,15,ORD-MDT,2019-06-01 15:03:00,2019-06-01 17:50:00,2019-06-01 17:35:00
Friday,2019-05-17,1529,1614,1552,HA,Hawaiian Airlines Inc.,183,N480HA,45,37,26,22,14,HNL,Honolulu International Airport,LIH,Lihue Airport,102,6,13,0,N,0,8,0,0,0,14,15,29,2019-05-17 15:29:00,5,15,HNL-LIH,2019-05-17 15:29:00,2019-05-17 16:14:00,2019-05-17 15:52:00
Saturday,2019-01-05,1446,1946,1900,WN,Southwest Airlines Co.,157,N295WN,180,195,169,46,61,DEN,Denver International Airport,BWI,Baltimore-Washington International Airport,1491,4,7,0,N,0,16,0,0,0,30,14,46,2019-01-05 14:46:00,1,14,DEN-BWI,2019-01-05 14:46:00,2019-01-05 19:46:00,2019-01-05 19:00:00
Thursday,2019-03-07,2201,2339,2240,WN,Southwest Airlines Co.,2785,N304SW,98,90,85,59,51,MHT,Manchester-Boston Regional Airport,BWI,Baltimore-Washington International Airport,377,5,8,0,N,0,0,0,8,0,51,22,1,2019-03-07 22:01:00,3,22,MHT-BWI,2019-03-07 22:01:00,2019-03-07 23:39:00,2019-03-07 22:40:00
Thursday,2019-05-02,1717,1836,1558,UA,United Air Lines Inc.,1199,N845UA,79,88,53,158,167,BDL,Bradley International Airport,IAD,Washington Dulles International Airport,326,5,21,0,N,0,0,0,0,0,158,17,17,2019-05-02 17:17:00,5,17,BDL-IAD,2019-05-02 17:17:00,2019-05-02 18:36:00,2019-05-03 15:58:00
Tuesday,2019-01-08,1945,2229,2155,MQ,American Eagle Airlines Inc.,3906,N657AE,104,105,76,34,35,ORD,Chicago O'Hare International Airport,SYR,Syracuse Hancock International Airport,607,5,23,0,N,0,0,0,7,0,27,19,45,2019-01-08 19:45:00,1,19,ORD-SYR,2019-01-08 19:45:00,2019-01-08 22:29:00,2019-01-08 21:55:00
Monday,2019-02-25,1925,2016,2000,DL,Delta Air Lines Inc.,1731,N907DA,111,104,87,16,9,SLC,Salt Lake City International Airport,GEG,Spokane International Airport,546,8,16,0,N,0,0,0,7,0,9,19,25,2019-02-25 19:25:00,2,19,SLC-GEG,2019-02-25 19:25:00,2019-02-25 20:16:00,2019-02-25 20:00:00
Thursday,2019-03-07,1628,1931,1757,DL,Delta Air Lines Inc.,791,N978DL,183,145,139,94,56,EWR,Newark Liberty International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,745,10,34,0,N,0,35,0,38,0,21,16,28,2019-03-07 16:28:00,3,16,EWR-ATL,2019-03-07 16:28:00,2019-03-07 19:31:00,2019-03-07 17:57:00
Wednesday,2019-03-20,1039,1135,1120,WN,Southwest Airlines Co.,429,N426WN,56,60,44,15,19,DAL,Dallas Love Field,SAT,San Antonio International Airport,248,3,9,0,N,0,0,0,0,0,15,10,39,2019-03-20 10:39:00,3,10,DAL-SAT,2019-03-20 10:39:00,2019-03-20 11:35:00,2019-03-20 11:20:00
Tuesday,2019-06-04,2300,110,2105,WN,Southwest Airlines Co.,3834,N642WN,130,145,111,245,260,BWI,Baltimore-Washington International Airport,TPA,Tampa International Airport,842,3,16,0,N,0,0,0,0,0,245,23,0,2019-06-04 23:00:00,6,23,BWI-TPA,2019-06-04 23:00:00,2019-06-05 01:10:00,2019-06-05 21:05:00
Saturday,2019-05-11,2144,2256,2240,WN,Southwest Airlines Co.,1848,N904WN,72,80,61,16,24,SNA,John Wayne Airport (Orange County Airport),OAK,Oakland International Airport,371,6,5,0,N,0,3,0,0,0,13,21,44,2019-05-11 21:44:00,5,21,SNA-OAK,2019-05-11 21:44:00,2019-05-11 22:56:00,2019-05-11 22:40:00
Sunday,2019-02-03,2043,2206,1950,WN,Southwest Airlines Co.,1561,N255WN,83,70,71,136,123,HOU,William P. Hobby Airport,LIT,Bill and Hillary Clinton National Airport (Adams Field),393,5,7,0,N,0,0,123,13,0,0,20,43,2019-02-03 20:43:00,2,20,HOU-LIT,2019-02-03 20:43:00,2019-02-03 22:06:00,2019-02-04 19:50:00
Friday,2019-02-08,912,1040,1000,MQ,American Eagle Airlines Inc.,4614,N705AE,88,75,48,40,27,BOS,Gen. Edward Lawrence Logan International Airport,JFK,John F. Kennedy International Airport (New York International Airport),187,7,33,0,N,0,13,0,13,0,14,9,12,2019-02-08 09:12:00,2,9,BOS-JFK,2019-02-08 09:12:00,2019-02-08 10:40:00,2019-02-08 10:00:00
Thursday,2019-06-27,1745,1901,1815,WN,Southwest Airlines Co.,3592,N230WN,196,205,181,46,55,HOU,William P. Hobby Airport,LAX,Los Angeles International Airport,1390,8,7,0,N,0,2,0,0,0,44,17,45,2019-06-27 17:45:00,6,17,HOU-LAX,2019-06-27 17:45:00,2019-06-27 19:01:00,2019-06-27 18:15:00
Friday,2019-01-04,1515,1619,1521,EV,Atlantic Southeast Airlines,4633,N643AS,64,71,42,58,65,AGS,Augusta Regional Airport (Bush Field),ATL,Hartsfield-Jackson Atlanta International Airport,143,6,16,0,N,0,0,58,0,0,0,15,15,2019-01-04 15:15:00,1,15,AGS-ATL,2019-01-04 15:15:00,2019-01-04 16:19:00,2019-01-04 15:21:00
Friday,2019-02-22,1843,2137,1815,US,US Airways Inc.,968,N919UW,234,235,209,202,203,SJU,Luis Muñoz Marín International Airport,CLT,Charlotte Douglas International Airport,1474,5,20,0,N,0,0,0,0,0,202,18,43,2019-02-22 18:43:00,2,18,SJU-CLT,2019-02-22 18:43:00,2019-02-22 21:37:00,2019-02-23 18:15:00
Thursday,2019-06-27,842,1009,850,MQ,American Eagle Airlines Inc.,4365,N615AE,87,90,62,79,82,OMA,Eppley Airfield,ORD,Chicago O'Hare International Airport,416,13,12,0,N,0,79,0,0,0,0,8,42,2019-06-27 08:42:00,6,8,OMA-ORD,2019-06-27 08:42:00,2019-06-27 10:09:00,2019-06-27 08:50:00
Sunday,2019-04-28,923,1034,935,AS,Alaska Airlines Inc.,182,N618AS,71,59,39,59,47,FAI,Fairbanks International Airport,ANC,Ted Stevens Anchorage International Airport,261,4,28,0,N,0,0,0,12,0,47,9,23,2019-04-28 09:23:00,4,9,FAI-ANC,2019-04-28 09:23:00,2019-04-28 10:34:00,2019-04-28 09:35:00
Monday,2019-03-11,746,845,820,WN,Southwest Airlines Co.,250,N520SW,59,50,39,25,16,DAL,Dallas Love Field,AUS,Austin-Bergstrom International Airport,189,3,17,0,N,0,16,0,9,0,0,7,46,2019-03-11 07:46:00,3,7,DAL-AUS,2019-03-11 07:46:00,2019-03-11 08:45:00,2019-03-11 08:20:00
Saturday,2019-03-30,1122,1432,1412,F9,Frontier Airlines Inc.,792,N908FR,130,142,117,20,32,PDX,Portland International Airport,DEN,Denver International Airport,992,7,6,0,N,0,0,0,0,0,20,11,22,2019-03-30 11:22:00,3,11,PDX-DEN,2019-03-30 11:22:00,2019-03-30 14:32:00,2019-03-30 14:12:00
Thursday,2019-06-20,2106,2331,2220,AA,American Airlines Inc.,1217,N4XBAA,265,265,239,71,71,ORD,Chicago O'Hare International Airport,SEA,Seattle-Tacoma International Airport,1721,7,19,0,N,0,29,0,2,0,40,21,6,2019-06-20 21:06:00,6,21,ORD-SEA,2019-06-20 21:06:00,2019-06-20 23:31:00,2019-06-20 22:20:00
Thursday,2019-05-23,1040,1152,1135,MQ,American Eagle Airlines Inc.,3224,N238AE,72,63,48,17,8,GGG,East Texas Regional Airport,DFW,Dallas/Fort Worth International Airport,140,15,9,0,N,0,0,0,9,0,8,10,40,2019-05-23 10:40:00,5,10,GGG-DFW,2019-05-23 10:40:00,2019-05-23 11:52:00,2019-05-23 11:35:00
Saturday,2019-01-12,1407,1504,1425,MQ,American Eagle Airlines Inc.,3245,N286AE,57,50,31,39,32,DFW,Dallas/Fort Worth International Airport,TYR,Tyler Pounds Regional Airport,103,6,20,0,N,0,1,0,7,0,31,14,7,2019-01-12 14:07:00,1,14,DFW-TYR,2019-01-12 14:07:00,2019-01-12 15:04:00,2019-01-12 14:25:00
Tuesday,2019-06-04,1038,1141,1055,WN,Southwest Airlines Co.,1738,N373SW,63,60,48,46,43,MDW,Chicago Midway International Airport,STL,St. Louis International Airport at Lambert Field,251,4,11,0,N,0,38,0,3,0,5,10,38,2019-06-04 10:38:00,6,10,MDW-STL,2019-06-04 10:38:00,2019-06-04 11:41:00,2019-06-04 10:55:00
Thursday,2019-03-21,1428,1636,1606,DL,Delta Air Lines Inc.,994,N912DL,128,141,103,30,43,ATL,Hartsfield-Jackson Atlanta International Airport,EWR,Newark Liberty International Airport,745,10,15,0,N,0,0,0,30,0,0,14,28,2019-03-21 14:28:00,3,14,ATL-EWR,2019-03-21 14:28:00,2019-03-21 16:36:00,2019-03-21 16:06:00
Wednesday,2019-06-05,1634,1939,1855,MQ,American Eagle Airlines Inc.,3729,N902BC,125,145,112,44,64,DFW,Dallas/Fort Worth International Airport,GSP,Greenville-Spartanburg International Airport,862,2,11,0,N,0,0,0,44,0,0,16,34,2019-06-05 16:34:00,6,16,DFW-GSP,2019-06-05 16:34:00,2019-06-05 19:39:00,2019-06-05 18:55:00
Monday,2019-06-10,847,1041,1003,F9,Frontier Airlines Inc.,225,N902FR,174,148,149,38,12,DEN,Denver International Airport,SMF,Sacramento International Airport,910,5,20,0,N,0,10,0,28,0,0,8,47,2019-06-10 08:47:00,6,8,DEN-SMF,2019-06-10 08:47:00,2019-06-10 10:41:00,2019-06-10 10:03:00
Tuesday,2019-05-28,1735,1857,1840,AA,American Airlines Inc.,1618,N593AA,82,85,63,17,20,ORD,Chicago O'Hare International Airport,MCI,Kansas City International Airport,403,3,16,0,N,0,0,0,0,0,17,17,35,2019-05-28 17:35:00,5,17,ORD-MCI,2019-05-28 17:35:00,2019-05-28 18:57:00,2019-05-28 18:40:00
Saturday,2019-06-22,2119,2253,2053,US,US Airways Inc.,236,N818AW,154,98,73,120,64,SLC,Salt Lake City International Airport,PHX,Phoenix Sky Harbor International Airport,507,5,76,0,N,0,0,0,56,0,64,21,19,2019-06-22 21:19:00,6,21,SLC-PHX,2019-06-22 21:19:00,2019-06-22 22:53:00,2019-06-23 20:53:00
Friday,2019-04-12,923,1227,1059,DL,Delta Air Lines Inc.,1653,N941DL,184,174,165,88,78,BDL,Bradley International Airport,PBI,Palm Beach International Airport,1133,5,14,0,N,0,78,0,10,0,0,9,23,2019-04-12 09:23:00,4,9,BDL-PBI,2019-04-12 09:23:00,2019-04-12 12:27:00,2019-04-12 10:59:00
Thursday,2019-01-24,825,1128,1113,UA,United Air Lines Inc.,672,N334UA,123,128,101,15,20,ORD,Chicago O'Hare International Airport,LGA,LaGuardia Airport (Marine Air Terminal),733,3,19,0,N,0,15,0,0,0,0,8,25,2019-01-24 08:25:00,1,8,ORD-LGA,2019-01-24 08:25:00,2019-01-24 11:28:00,2019-01-24 11:13:00
Saturday,2019-02-23,1126,1323,1259,MQ,American Eagle Airlines Inc.,4348,N695AE,117,104,75,24,11,XNA,Northwest Arkansas Regional Airport,ORD,Chicago O'Hare International Airport,522,19,23,0,N,0,0,0,13,0,11,11,26,2019-02-23 11:26:00,2,11,XNA-ORD,2019-02-23 11:26:00,2019-02-23 13:23:00,2019-02-23 12:59:00
